bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
5,4,N/A,1,"Khahare Chowk, Pepsicola, Kathmandu",6,,,,14,Soil Stabilized,2,1093.5,34000000
3,3,2,4,"Nakhkhu, Ekantakuna, Lalitpur",0,12,0,0,15,Gravelled,1,4107,45000000
5,6,3,3,"Na, Budhanilkantha, Kathmandu",7,,,,20,Blacktopped,1,1275.75,45000000
5,3,3,0,"Basundhara, Basundhara, Kathmandu",4,3,,,12,Blacktopped,2,1755.75,26000000
2,1,1,2,"Kapan, Budhanilkantha, Kathmandu",3,2,,,12,Gravelled,2,1231.25,12800000
4,3,2.5,0,"Dhaneshwor Temple, Gongabu, Kathmandu",0,3,2,0,13,Blacktopped,2,1197.87,26000000
6,6,3,1,"NA, Budhanilkantha, Kathmandu",4,,,,13,Blacktopped,2,729,28000000
8,4,4,1,"LolangPhant Goldhunga, Goldhunga, Kathmandu",5,,,,10,Gravelled,0.25,911.25,29900000
5,4,2.5,1,"Nearby Laxmi Furniture, Imadol, Lalitpur",0,3,1,0,20,Gravelled,1,1112.31,18000000
3,3,2,1,"Yakaltar, Raniban, Kathmandu, Raniban, Kathmandu",0,3,0,0,13,Paved,0.25,1026.75,30000000
4,3,2.5,1,"Bojepokhari, Imadol, Lalitpur",0,3,2,0,13,Gravelled,2,1197.87,21000000
4,3,3,1,"Mahalaxmi Muncipality, Imadol, Lalitpur",0,3,0,1,20,Gravelled,0.916666667,1048.14,24000000
6,2,3,0,"Budhanilkantha, Budhanilkantha, Kathmandu",4,,,,20,Soil Stabilized,2,729,22800000
4,2,N/A,1,"maitidevi, Maitidevi, Kathmandu",6,,,,13,Soil Stabilized,1,1093.5,55000000
7,4,3.5,1,"Chappal karkhana, Chappal Karkhana, Kathmandu",0,5,1,2,12,Soil Stabilized,0.916666667,1839.59,40000000
5,5,2,0,"Taulung road, Budhanilkantha, Kathmandu",14,,,,14,Blacktopped,2,2551.5,51000000
4,3,2.5,1,"Near Kirat Yakthung Chumlung, Sovahity, Lalitpur",0,3,0,0,10,Concrete,1,1026.75,20000000
7,6,3,1,"NA, Tokha, Kathmandu",3,3,,,15,Gravelled,1,1573.5,23500000
0,4,4,0,"timalshina chowk, Imadol, Lalitpur",11,,,,0,Soil Stabilized,2,2004.75,18000000
7,3,N/A,0,"Tarkeshwor Municipality Head Office, Tarkeshwor, Kathmandu",4,,,,10,Soil Stabilized,2,729,8000000
0,3,N/A,1,"A New House Sale in Sitapaila, Sitapaila, Kathmandu",4,,,,13,Soil Stabilized,0.166666667,729,25000000
2,1,1.5,1,"PaniTyanki, Tikathali, Lalitpur",0,2,3,0,13,Gravelled,1,941.18,11200000
5,5,2.5,4,"Nayabasti, Imadol, Imadol, Lalitpur",0,3,1,1,13,Gravelled,1,1133.7,22000000
8,5,4,2,"Sital Height, Imadol, Imadol, Lalitpur",0,4,0,0,13,Gravelled,0.666666667,1369,33500000
5,3,2.5,1,"sital height, Imadol, Lalitpur",0,2,2,0,13,Gravelled,2,855.62,15000000
4,4,3,1,"Na, Dhapasi, Kathmandu",5,,,,20,Blacktopped,2,911.25,33500000
4,2,N/A,0,"Halchowk, Swayambhu, Kathmandu",4,8,,,16,Soil Stabilized,3,3467,13000000
0,2,3,0,"dathulan road house, Chakupat, Lalitpur",1,,,,1,Concrete,2,182.25,8700000
4,4,3,2,"NA, Budhanilkantha, Kathmandu",5,,,,15,Blacktopped,2,911.25,30500000
5,3,3,0,"Near Buddha Party Palace, Imadol, Lalitpur",3,5,,,13,Blacktopped,2,2258,16500000
2,2,N/A,0,"house, Baluwatar, Kathmandu",0,1,1,0,13,Blacktopped,2,427.81,11200000
5,3,2,1,"Harissidi, Harisiddhi, Lalitpur",3,5,,,0,Soil Stabilized,1,2258,20000000
6,4,4,3,"Samakhusi, Samakhusi, Kathmandu",0,3,0,1,10,Soil Stabilized,2,1048.14,22500000
7,4,2,1,"Katyayani Temple, Mid Baneshwor, Kathmandu",0,7,0,0,10,Concrete,2,2395.75,50000000
2,1,1,1,"Shrijana basti, Kumari marga, Sukedhara, Kathmandu",0,,,,13,Blacktopped,0.166666667,0,19500000
4,4,3,1,"Sitapaila, Sitapaila, Kathmandu",3,1,,,13,Gravelled,2,889,18000000
6,4,N/A,1,"Bhatkepati, Machhegaun, Kirtipur",0,7,2,,13,Soil Stabilized,1,2566.87,27500000
4,4,3,1,"Sital Height, Imadol, Imadol, Lalitpur",0,3,1,0,13,Soil Stabilized,0.666666667,1112.31,21000000
5,3,3,1,"Hattiban, Lalitpur, Imadol, Lalitpur",3,1,,,13,Blacktopped,2,889,18000000
5,5,N/A,0,"Budhanilkantha, Budhanilkantha, Kathmandu",6,,,,16,Blacktopped,0.666666667,1093.5,55000000
5,3,3,0,"jarankhu kapresthali, Joranku, Kathmandu",0,3,0,0,8,Soil Stabilized,2,1026.75,15900000
7,3,3,0,"Panchetar, Tokha, Kathmandu",0,4,2,0,10,Gravelled,2,1540.12,24500000
4,2,1.5,1,"Nearby Buddha party palace, Imadol, Lalitpur",0,3,0,0,13,Gravelled,2,1026.75,13000000
7,2,3,0,"Krishna Mandir, Imadol, Lalitpur",0,3,3,2,13,Gravelled,2,1326.21,22500000
6,5,3,3,"Shantichow, Nakhipot, Lalitpur",0,8,3,3,20,Blacktopped,1,3058.85,57500000
4,3,N/A,0,"Basundhara, Basundhara, Kathmandu",5,5,,,16,Gravelled,2,2622.5,32500000
5,3,2,1,"Dhapasi-6, Dhapasi, Kathmandu",3,,,,13,Paved,0.916666667,546.75,21000000
8,4,N/A,1,"Rayamajhi, Naya Bazar, Kathmandu",0,3,1,0,0,Soil Stabilized,2,1112.31,32000000
4,4,N/A,1,"Sainbu, Bhaisepati, Lalitpur",0,5,2,0,20,Blacktopped,2,1882.37,35200000
6,4,3,1,"Budanilkantha, Sunderbasti, Kathmandu",0,5,0,3,13,Soil Stabilized,3,1775.42,27500000
9,6,4,3,"Na, Tokha, Kathmandu",9,,,,13,Paved,2,1640.25,40000000
6,4,3.5,3,"Birendra Chowk, Kadaghari, Kathmandu",3,2,,,13,Soil Stabilized,2,1231.25,36000000
6,4,3,1,"Sanchal, Sanepa, Lalitpur",0,4,2,0,12,Soil Stabilized,1,1540.12,32500000
6,4,2,1,"Thapa Chok, Sitapaila, Kathmandu",4,,,,11,Soil Stabilized,1,729,30000000
3,2,3,3,"Tinthana, Balkhu, Kathmandu",0,4,5,0,20,Soil Stabilized,2,1796.8,23000000
7,3,3,4,"Dallu, Dallu, Kathmandu",0,7,1,0,14,Blacktopped,1,2481.31,55000000
0,3,3,1,"pepsicola, Pepsicola, Kathmandu",3,5,,,10,Soil Stabilized,0.166666667,2258,27500000
3,3,N/A,1,"Imadol, Gwarko, Lalitpur",0,0,3,,13,Blacktopped,2,256.68,17500000
4,4,3,1,"Buddha Colony, Buddha Party Palace, Imadol, Imadol, Lalitpur",0,3,2,0,13,Gravelled,0.5,1197.87,26000000
5,3,N/A,3,"Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",0,6,0,0,12,Blacktopped,1,2053.5,47000000
10,3,4,1,"Pepsi Cola, Pepsicola, Kathmandu",0,2,5,0,20,Paved,1,1112.3,22200000
5,4,3,4,"Arubari, Chabahil, Kathmandu",4,,,,12,Soil Stabilized,2,729,37000000
4,5,3,2,"Bishnumati, Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",0,9,0,0,18,Concrete,0.5,3080.25,55000000
6,6,3,2,"Na, Kapan, Kathmandu",5,,,,13,Blacktopped,1,911.25,31000000
3,3,N/A,0,"Jorpati, Gokarneshwor, Kathmandu",2,2,,,12,Soil Stabilized,0.25,1049,14300000
2,1,1,0,"Imadol, Mahalaxmisthan, Lalitpur",0,3,0,,15,Gravelled,1,1026.75,12500000
5,3,3,0,"Ekantakuna, Ekantakuna, Lalitpur",0,3,1,2,22,Blacktopped,2,1155.09,27000000
2,1,1.5,1,"Nearby Buddha Party Palace, Imadol, Lalitpur",0,2,3,0,13,Gravelled,1,941.18,11500000
6,5,3,6,"NA, Budhanilkantha, Kathmandu",12,,,,15,Blacktopped,2,2187,57500000
5,3,2.5,0,"Bohoratar, Bohoratar, Kathmandu",0,3,0,0,22,Blacktopped,1,1026.75,16500000
6,4,2.5,3,"Imadol, Tikathali, Lalitpur",0,4,0,0,20,Concrete,2,1369,21500000
4,5,3,2,"Na, Budhanilkantha, Kathmandu",5,,,,15,Blacktopped,1,911.25,37500000
4,4,2,2,"Budhanilkantha, Hattigauda, Kathmandu",0,7,2,0,13,Soil Stabilized,3,2566.87,55000000
5,6,3,1,"na, Tokha, Kathmandu",3,1,,,12,Blacktopped,2,889,17800000
5,5,3,1,"Na, Hattigauda, Kathmandu",5,5,,,14,Gravelled,2,2622.5,33500000
4,3,3,0,"Krishna Temple, Imadol, Lalitpur",0,3,0,3,10,Gravelled,2,1090.92,19000000
7,6,5,4,"Mulpani, Mulpani, Kathmandu",3,1,,,14,Gravelled,2,889,16000000
5,5,3,4,"Deuba Chowk, Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",0,10,0,0,14,Concrete,0.5,3422.5,70000000
7,8,4,2,"Samakhusi, Samakhusi, Kathmandu",4,,,,14,Paved,2,729,40000000
5,4,3,0,"Nayabasti, Imadol, Lalitpur",3,,,,11,Gravelled,2,546.75,18000000
5,5,3,4,"Na, Mandikatar, Kathmandu",13,,,,15,Blacktopped,1,2369.25,69999999
6,3,N/A,2,"Near Real Banquet, Bafal, Kathmandu",5,,,,12,Blacktopped,0.333333333,911.25,35000000
8,4,4,0,"Nearby Namuna Planning, Tokha, Kathmandu",0,3,2,0,20,Gravelled,2,1197.87,17000000
4,3,3,4,"Budhanilkantha, Budhanilkantha, Kathmandu",0,8,0,0,13,Soil Stabilized,3,2738,25000000
4,4,N/A,1,"bhaisepati, Bhaisepati, Lalitpur",3,,,,0,Soil Stabilized,2,546.75,30000000
5,4,2,3,"Sundarbasti, Kapan, Sunderbasti, Kathmandu",0,5,3,0,14,Gravelled,1,1967.93,31500000
5,2,3,0,"Near by kalikasthan temple, Thankot, Kathmandu",4,,,,16,Blacktopped,2,729,17500000
7,4,3,0,"Behind Swimming Pool, Imadol, Lalitpur",3,3,,,13,Soil Stabilized,2,1573.5,22500000
4,3,3,3,"Dhapasi, Dhapasi, Kathmandu",0,10,0,0,12,Paved,0.333333333,3422.5,61000000
4,2,2,0,"Nagdhunga, Nagdhunga, Kathmandu",3,2,,,15,Soil Stabilized,2,1231.25,9500000
6,4,3,1,"Lotesor, Koteshwor, Kathmandu",5,,,,13,Gravelled,1,911.25,38000000
6,3,2.5,1,"Nagarjun School, Goldhunga, Kathmandu",0,3,0,0,10,Gravelled,2,1026.75,16500000
5,3,2,3,"Bafal, Bafal, Kathmandu",0,4,0,0,13,Gravelled,3,1369,28500000
6,5,3,1,"Na, Tokha, Kathmandu",4,,,,13,Gravelled,2,729,29000000
3,3,3,3,"Naurangey, Bharatpur, Chitwan",10,,,,19.68504,Blacktopped,2,1822.5,13500000
4,4,3,2,"Kapan, Kapan, Kathmandu",3,2,,,0,Soil Stabilized,2,1231.25,15000000
6,6,3,4,"Na, Basundhara, Kathmandu",8,,,,20,Blacktopped,2,1458,45000000
8,4,4,2,"242 Laligurash marg ghattekulo, namuna nagar, Dillibazar, Kathmandu",0,5,0,2,13.5,Blacktopped,1,1754.03,42500000
5,3,2.5,1,"Bhadrakali Petrol Pump, Imadol, Lalitpur",0,3,0,0,13,Gravelled,1,1026.75,22000000
5,2,2,3,"Jarankhu, Balaju, Kathmandu",0,3,2,2,13,Soil Stabilized,2,1240.65,14200000
5,5,3,1,"Na, Tokha, Kathmandu",3,1,,,13,Soil Stabilized,2,889,22000000
5,5,N/A,0,"Na, Baluwatar, Kathmandu",4,,,,9,Blacktopped,1,729,32000000
6,3,3,4,"Nearby Jyotinagar, Budhanilkantha, Kathmandu",6,,,,13,Soil Stabilized,2,1093.5,34000000
9,3,3,1,"50M away from Trisuli High way, Goldhunga, Kathmandu",0,3,2,0,13,Blacktopped,0.583333333,1197.87,17800000
4,4,2,4,"Dhapasi, Basundhara, Kathmandu",16,,,,14,Blacktopped,2,2916,70000000
4,3,3,0,"Nayabasti, Imadol, Lalitpur",0,2,2,0,13,Gravelled,2,855.62,15000000
4,4,3,2,"Sital Height, Imadol, Imadol, Lalitpur",0,3,2,0,13,Soil Stabilized,0.666666667,1197.87,22500000
6,6,3,1,"Na, Tokha, Kathmandu",4,,,,13,Blacktopped,2,729,29000000
6,5,4,0,"Khumaltar, Khumaltar, Lalitpur",0,6,1,0,13,Soil Stabilized,2,2139.06,37500000
5,4,2,0,"Galkhutar naranthan, Mandikatar, Kathmandu",5,,,,13,Blacktopped,0.333333333,911.25,35000000
6,3,N/A,0,"Nearby, Musiam, Chhauni, Kathmandu",3,3,1,,11,Blacktopped,2,1659.06,22500000
5,2,2.5,2,"chhauni, Chhauni, Kathmandu",0,4,2,2,8,Paved,1,1582.9,27000000
2,1,1.5,1,"Nearby Green hill city, Imadol, Lalitpur",0,2,2,0,16,Gravelled,2,855.62,11000000
7,8,2,4,"Tahachal, Tahachal, Kathmandu",0,5,2,0,15,Concrete,1,1882.37,55000000
5,3,2,1,"Syano Bharyang, Swayambhu, Kathmandu",6,,,,13,Gravelled,0.583333333,1093.5,50000000
0,3,3,2,"Budhanilkantha-2, Budhanilkantha, Kathmandu",5,5,,,15,Paved,0.583333333,2622.5,37500000
5,5,3,2,"Na, Naya Bazar, Kathmandu",5,,,,20,Blacktopped,2,911.25,35000000
2,1,1,0,"Sitapakha, Imadol, Lalitpur",0,3,3,3,13,Gravelled,2,1347.6,13000000
0,3,3,1,"Imadol, near tempo park, Imadol, Lalitpur",0,4,0,0,12,Soil Stabilized,2,1369,21000000
7,6,4,1,"Banasthali, Banasthali, Kathmandu",0,5,0,0,16,Blacktopped,2,1711.25,37000000
6,6,3,2,"NA, Hattigauda, Kathmandu",5,,,,14,Blacktopped,2,911.25,26500000
2,1,2,1,"Dotel Dairy, Gothatar, Gothatar, Kathmandu",0,3,1,0,13,Blacktopped,0.666666667,1112.31,15800000
7,3,N/A,0,"Imadol, Imadol, Lalitpur",0,2,2,2,16,Soil Stabilized,0.75,898.4,18000000
5,2,2,0,"Thapathali, Thapathali, Kathmandu",0,4,3,3,14,Soil Stabilized,3,1689.85,40100000
4,4,3,1,"Buddha Colony, Buddha Party Palace, Imadol, Imadol, Lalitpur",0,3,2,0,13,Gravelled,0.5,1197.87,22500000
2,1,1,1,"Banbatika, Thali, Kathmandu",0,4,0,0,18,Gravelled,1,1369,15000000
5,3,2.5,3,"Bafal, Bafal, Kathmandu",0,3,2,0,13,Blacktopped,1,1197.87,22500000
4,4,3,1,"Sital Height, Imadol, Imadol, Lalitpur",0,3,0,0,13,Gravelled,0.666666667,1026.75,21500000
9,3,3,0,"Narayantar, Jorpati, Kathmandu",3,,,,10,Gravelled,2,546.75,16500000
5,4,3,1,"Thapa chowk, Sitapaila, Kathmandu",0,4,1,1,13,Soil Stabilized,3,1475.95,25500000
4,4,N/A,1,"Sainbu, Bhaisepati, Lalitpur",0,6,0,0,20,Blacktopped,2,2053.5,37100000
5,5,3,1,"Na, Budhanilkantha, Kathmandu",4,5,,,14,Paved,2,2440.25,31000000
5,2,2.5,3,"Raniban, Raniban, Kathmandu",0,4,2,0,15,Concrete,1,1540.12,30000000
5,6,3,3,"Na, Budhanilkantha, Kathmandu",6,,,,13,Paved,2,1093.5,45000000
5,3,2.5,1,"Opposite of Green Hill City, Imadol, Lalitpur",0,3,0,0,13,Gravelled,1,1026.75,20000000
5,5,3,0,"Maharajgunj, Maharajgunj, Kathmandu",9,,,,13,Blacktopped,2,1640.25,70000000
6,6,3,5,"Budhanilkantha, Budhanilkantha, Kathmandu",8,,,,20,Soil Stabilized,0.666666667,1458,35000000
4,3,3,1,"Chandragiri-12, Chandragiri, Kathmandu",0,2,2,0,13,Gravelled,1,855.62,12900000
6,5,3,3,"Bhimsengola, Bhimsengola, Baneshwor, Kathmandu",0,4,0,0,15,Blacktopped,2,1369,38700000
6,3,2.5,6,"Inside Narayani Petrol pump, Bafal, Kathmandu",0,4,0,0,16,Blacktopped,1,1369,31000000
10,4,3,0,"Rupandehi, Butwal, Butwal",7,,,,20,Gravelled,2,1275.75,25000000
4,3,2.5,3,"Gongabu Ring Road, Baniyatar, Kathmandu",0,2,3,2,15,Blacktopped,1,983.96,19000000
4,4,3,2,"Binayak tol , Imadol E Block, Mahalaxmisthan, Lalitpur",4,,,,13,Soil Stabilized,0.166666667,729,26500000
4,5,2.5,1,"Nayabasti, Imadol, Lalitpur",0,4,0,0,20,Gravelled,2,1369,21000000
3,3,N/A,0,"Shreetole Height home, Basundhara, Kathmandu",3,,,,12,Soil Stabilized,2,546.75,19900000
6,3,3,2,"Near ICIMOD, Dhapakhel, Lalitpur, Dhapakhel, Lalitpur",0,5,0,0,13,Blacktopped,0.166666667,1711.25,28000000
6,4,3,1,"Mandikatar, Mandikatar, Kathmandu",3,1,,,13,Blacktopped,2,889,19900000
7,3,3,1,"New Baneshwor, Shantinagar, Kathmandu",0,7,3,0,13,Blacktopped,2,2652.43,43500000
4,4,2,4,"Manahari, Hetauda, Makwanpur",0,4,0,0,14,Paved,2,1369,20000000
5,4,N/A,1,"I.J pioneer school, Hattiban, Lalitpur",0,4,3,0,16,Gravelled,2,1625.68,37500000
4,1,1,0,"Tikathali, Tikathali, Lalitpur",3,2,,,10,Soil Stabilized,2,1231.25,9000000
6,6,3,1,"Na, Budhanilkantha, Kathmandu",4,,,,13,Paved,2,729,26500000
3,3,3,1,"Harisiddhi, Harisiddhi, Lalitpur",0,3,0,3,18,Soil Stabilized,2,1090.92,20000000
7,4,3,2,"Sangam phat, Futung(opposite Bhatkeko pul), Tarkeshwor, Kathmandu",5,1,,,12,Gravelled,1,1253.5,25000000
2,3,3,0,"Basundhara, Basundhara, Kathmandu",5,,,,14,Blacktopped,2,911.25,37500000
5,5,3,2,"Manahara, Pepsicola, Kathmandu, Pepsicola, Kathmandu",0,3,2,0,11,Gravelled,0.416666667,1197.87,23000000
6,4,3,4,"Madole, Sitapaila, Kathmandu",0,6,0,0,10,Soil Stabilized,1,2053.5,29000000
5,6,3,3,"Na, Budhanilkantha, Kathmandu",6,,,,18,Blacktopped,1,1093.5,47500000
5,5,3,1,"na, Bhangal, Kathmandu",3,5,,,14,Gravelled,2,2258,17900000
6,5,3,2,"New Colony, Ganesh Chowk, Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",0,4,0,0,13,Gravelled,0.666666667,1369,37500000
2,1,2,1,"Bashundhara, Kathmandu, Basundhara, Kathmandu",0,5,5,0,12,Soil Stabilized,0.416666667,2139.05,35000000
5,5,3,1,"Sundarbasti, Bhangal, Kathmandu",3,5,,,13,Gravelled,2,2258,21500000
5,3,2.5,2,"Kantipur college, Lubhu, Lalitpur",0,3,2,0,20,Blacktopped,2,1197.87,17000000
5,5,3,1,"Na, Kapan, Kathmandu",3,2,,,13,Blacktopped,2,1231.25,18200000
4,4,N/A,0,"Budhanilkantha, Budhanilkantha, Kathmandu",0,8,1,2,13,Blacktopped,0.166666667,2866.34,55000000
5,4,3,0,"Hattigauda, Hattigauda, Kathmandu",5,,,,15,Gravelled,2,911.25,32000000
7,7,3,4,"Na, Dhapasi, Kathmandu",12,,,,20,Blacktopped,2,2187,69000000
6,5,3,1,"Payutar, Kapan, Kathmandu",5,,,,14,Gravelled,2,911.25,22000000
5,4,2.5,1,"Sital Height, Imadol, Lalitpur",0,4,0,2,13,Gravelled,1,1411.78,23500000
4,4,2,2,"Bhalwari, Sakhuwani, Bewara, Tillotama, Butwal",0,1,10,,20,Gravelled,0.833333333,1197.85,30000000
0,4,3,1,"Ochu Height, Imadol, Lalitpur",3,1,2,,13,Gravelled,2,1060.12,19000000
3,4,6,1,"Thanabahal, Chikanmugal-23, Basantapur, Kathmandu, Nepal, Basantapur, Kathmandu",0,1,0,0,10,Paved,0.583333333,342.25,22500000
4,3,N/A,3,"Sukhedhara, Sukedhara, Kathmandu",0,7,0,0,16,Paved,0.008219178,2395.75,70000000
4,5,3,3,"Na, Golfutar, Kathmandu",9,,,,15,Soil Stabilized,2,1640.25,47500000
4,4,3,3,"kusunti, Kusunti, Lalitpur",0,5,2,2,13,Blacktopped,1,1925.15,36500000
5,6,3,3,"Maharajgunj, Maharajgunj, Kathmandu",6,5,,,15,Blacktopped,2,2804.75,65000000
4,5,3,1,"N, Chandol, Kathmandu",4,,,,16,Blacktopped,1,729,33500000
6,5,3,2,"Na, Hattigauda, Kathmandu",5,,,,13,Blacktopped,1,911.25,31000000
5,7,3,2,"NA, Budhanilkantha, Kathmandu",6,,,,14,Blacktopped,1,1093.5,36000000
5,4,N/A,2,"House sale chandol banla, Chandol, Kathmandu",0,5,3,0,15,Gravelled,1,1967.93,42500000
5,4,3,2,"Narephant Jadibuti Koteshwor, Narephate, Kathmandu",0,4,1,0,12,Paved,1,1454.56,50000000
6,6,3,3,"Na, Sukedhara, Kathmandu",6,,,,20,Blacktopped,2,1093.5,45000000
4,4,2,1,"Imadol, Baghdol, Lalitpur",0,3,2,3,20,Gravelled,2,1262.04,19500000
6,6,3,2,"Na, Bhangal, Kathmandu",4,,,,14,Gravelled,2,729,27500000
6,7,N/A,1,"Bhim Nidhi Tiwari Marg, Pingalasthan, Gaushala, Kathmandu",0,5,0,0,20,Blacktopped,0.166666667,1711.25,45000000
